title,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,clean_review,sentiment
Claim who accept.,4,morrowthomas,30,22,Flipkart,ar,Nepal,3.8.4,No,every quite sense including six lot never effect fill general relationship save security land record class democrat hundred full nearly recent,Positive
Growth pretty wish.,4,sheakimberly,120,22,Flipkart,ar,Guinea,5.2.6,Yes,ask develop bag also worker pas expert white arm similar compare manager action sure u million crime six member recognize past,Positive
What then spend offer reason whom none.,5,katherineali,130,21,Flipkart,es,Kuwait,3.6.5,No,customer address region try near risk next girl spring paper create upon offer end imagine blood authority family water,Positive
Say dog drug enter director strong student.,1,eric11,72,26,Amazon,pt,Uruguay,5.7.2,No,television loss election small detail red son include good act strategy eat behavior purpose start away use live government thus especially water raise travel,Negative
Purpose here beyond.,5,chloe42,123,27,Amazon,zh,Mayotte,5.8.6,No,pas share must amount lot per manage world make worker exactly develop office approach son long must maybe hour rather company recently least ready,Positive
Care throw piece move firm main economy.,3,rosshannah,48,23,Flipkart,pt,Bahamas,4.3.6,Yes,especially gas contain interest industry sell half hundred conference capital office direction establish dog certainly change south computer,Neutral
Maintain say threat high expert place certain.,3,daniellemcfarland,190,18,App Store,ja,Italy,4.2.7,Yes,live picture last free guess night use election go quickly paper officer practice mr without expect foot,Neutral
Share bar energy choice pressure those finally.,2,joanramos,128,29,Website,zh,Brunei Darussalam,1.7.1,No,occur support author class direction first fact environment popular even know television guy minute late cold take doctor edge season see decision however believe view list approach side,Negative
Source kind hand employee field.,1,millskatherine,184,21,Flipkart,ja,Burkina Faso,2.1.7,No,stuff agreement professional team foot live window music evening know wide recently opportunity lead see theory policy move training loss,Negative
Determine bad personal might son party.,3,justin84,159,16,App Store,es,Isle of Man,3.8.6,No,light across two water local across involve fall discus nature country think join economic resource position,Neutral
Management game find.,4,dbolton,138,16,Google Play,pt,Qatar,1.3.4,Yes,consumer face pm pay evening performance fly charge wide win example account bed,Positive
List race fine follow pick.,1,garnerandrea,111,20,Google Play,es,British Virgin Islands,4.2.4,Yes,form weight argue simply author consider time economic high actually window research window east yes current behind,Negative
Before peace us young personal art popular.,1,martinezjesse,83,19,Google Play,hi,Micronesia,3.5.6,Yes,police cup thought tell design plan foot cold everybody build smile ok real read choice side eat,Negative
Here control affect task simply draw return.,2,rlee,135,24,App Store,pt,Luxembourg,2.2.2,Yes,south cover ready group care together magazine join far couple cost girl run every story trial never attention choice fast enjoy happen,Negative
Guess sea three state.,5,colonjoseph,97,26,Website,de,Armenia,4.9.2,Yes,child executive important focus benefit probably analysis visit condition blood court price moment red eight hand paper audience u decade man threat bag song,Positive
Society nearly measure price.,4,umahoney,163,19,Amazon,ar,Mayotte,3.0.7,No,strong back democratic mind big discus country moment eat personal condition see indeed black police group learn professor third,Positive
Try memory number occur behind.,5,ikelly,40,24,Google Play,ar,Estonia,3.9.4,No,include plan step food drive nation heart nearly season growth language however risk work military year feel develop talk state ready,Positive
Indicate test thank dinner present own.,3,walterscrystal,116,21,Amazon,de,Austria,4.7.1,Yes,economic eight feel notice design baby foot lot major together reflect standard organization feel room office bad argue side girl,Neutral
Nice maintain present cultural pattern save east.,4,adamsrussell,146,23,Amazon,pt,Poland,3.4.0,No,american music change maybe determine anything rule hotel knowledge organization measure develop skill challenge live seat nature energy huge recently seven,Positive
We unit than star add.,3,torresthomas,2,20,Website,en,Greenland,5.7.4,Yes,become public interest give fly order agency fight write pattern wrong kind certainly rate choose rock beat science,Neutral
Ten affect test power discuss herself.,5,mckeetodd,90,20,Flipkart,de,Nauru,5.4.2,Yes,deep national seek nature performance yeah reason property heavy town money eight exist smile peace apply pressure across home even,Positive
Want we difficult.,1,penny21,79,19,App Store,en,Saint Lucia,5.5.2,Yes,cost may leader unit easy morning majority season adult range green without every artist election hit,Negative
Fish they risk she.,3,tali,83,27,App Store,fr,Kenya,2.2.8,No,whether partner personal dinner drive check wife travel forget deal catch range dark catch read together travel involve training show prevent north citizen attack mouth rest,Neutral
Clearly difficult impact why.,5,stephanie33,128,19,Amazon,fr,Saudi Arabia,3.7.4,No,charge could capital ago worry pay paper partner others reach grow read live maybe painting republican hear system man,Positive
Minute later still.,1,richjohn,119,16,Google Play,fr,Martinique,2.6.8,No,computer western keep pay reach term simply part station result hour voice occur movie political,Negative
